id,address,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-075520-00149-X,"שד גולדה מאיר 149, דימונה",86058,exact,202919.22,553876.87,693771.00,3439796.80
001027-075520-01001-X,"שד גולדה מאיר 1001, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01001-ב,"שד גולדה מאיר 1001ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01002-א,"שד גולדה מאיר 1002א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01002-ג,"שד גולדה מאיר 1002ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01003-א,"שד גולדה מאיר 1003א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01004-X,"שד גולדה מאיר 1004, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01004-א,"שד גולדה מאיר 1004א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01004-ג,"שד גולדה מאיר 1004ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01005-X,"שד גולדה מאיר 1005, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01005-א,"שד גולדה מאיר 1005א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01006-X,"שד גולדה מאיר 1006, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01006-א,"שד גולדה מאיר 1006א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01006-ב,"שד גולדה מאיר 1006ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-X,"שד גולדה מאיר 1007, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-א,"שד גולדה מאיר 1007א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-ד,"שד גולדה מאיר 1007ד, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-ה,"שד גולדה מאיר 1007ה, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-X,"שד גולדה מאיר 1020, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-א,"שד גולדה מאיר 1020א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-ב,"שד גולדה מאיר 1020ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-ג,"שד גולדה מאיר 1020ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-ד,"שד גולדה מאיר 1020ד, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01021-ב,"שד גולדה מאיר 1021ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01021-ה,"שד גולדה מאיר 1021ה, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-X,"שד גולדה מאיר 1022, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-א,"שד גולדה מאיר 1022א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ג,"שד גולדה מאיר 1022ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ד,"שד גולדה מאיר 1022ד, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ה,"שד גולדה מאיר 1022ה, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ו,"שד גולדה מאיר 1022ו, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-X,"שד גולדה מאיר 1023, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-א,"שד גולדה מאיר 1023א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-ב,"שד גולדה מאיר 1023ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-ג,"שד גולדה מאיר 1023ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-ד,"שד גולדה מאיר 1023ד, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-X,"שד גולדה מאיר 1033, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-א,"שד גולדה מאיר 1033א, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-ב,"שד גולדה מאיר 1033ב, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-ג,"שד גולדה מאיר 1033ג, דימונה",86058,street,202958.41,553726.62,693813.16,3439647.35
