id,city,street,house_number,entrance,zip,govmap_status,govmap_lat,govmap_lon,google_fwd_status,google_fwd_lat,google_fwd_lon,google_fwd_full,osm_fwd_status,osm_fwd_lat,osm_fwd_lon,osm_fwd_full,dist_govmap_google_m,dist_govmap_osm_m,dist_google_osm_m,google_rev_at_govmap_street,google_rev_at_govmap_house,google_rev_at_govmap_match,osm_rev_at_govmap_street,osm_rev_at_govmap_house,osm_rev_at_govmap_match,osm_rev_at_google_street,osm_rev_at_google_house,osm_rev_at_google_match,google_rev_at_osm_street,google_rev_at_osm_house,google_rev_at_osm_match,flags
001027-073567-00038-X,דימונה,אבן גבירול,13,,,exact,31.076479,35.042905,OK,31.076485,35.042841,"Shlomo Ibn Gabirol St 13, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",6.2,101.2,106.2,שלמה אבן גבירול,13,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00039-X,דימונה,אבן גבירול,12,,,exact,31.075899,35.043278,OK,31.076161,35.043039,"Shlomo Ibn Gabirol St 12, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",36.9,38.5,69.8,שלמה אבן גבירול,458,partial,אבן גבירול,,partial,,,n/a,,,mismatch,google_rev_at_osm_mismatch
001027-073567-00040-X,דימונה,אבן גבירול,32,,,exact,31.074152,35.043418,OK,31.074194,35.043332,"Shlomo Ibn Gabirol St 32, Dimona, Israel",OK,31.075855,35.043678,"אבן גבירול, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",9.4,190.4,187.1,שלמה אבן גבירול,449,partial,אלחריזי,,mismatch,,,n/a,,,mismatch,osm_rev_at_govmap_mismatch;google_rev_at_osm_mismatch
001027-073567-00041-X,דימונה,אבן עזרא,5,,,exact,31.073286,35.043185,OK,31.073528,35.043166,"Ibn Ezra St 5, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",26.8,29.1,47.7,אבן עזרא,440,partial,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00042-X,דימונה,אבן עזרא,4,,,exact,31.073398,35.042705,OK,31.073453,35.042704,"Ibn Ezra St 4, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",6.1,34.3,39.3,אבן עזרא,2,partial,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00043-X,דימונה,אבן עזרא,19,,,exact,31.072296,35.043161,OK,31.072300,35.043148,"Ibn Ezra St 19, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",1.4,97.6,96.9,אבן עזרא,19,match,שלום שבזי,,mismatch,,,n/a,אבן עזרא,442,partial,osm_rev_at_govmap_mismatch
001027-073567-00044-X,דימונה,אבן עזרא,2,,,exact,31.073516,35.042741,OK,31.073524,35.042714,"Ibn Ezra St 2, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2.8,43.9,45.8,אבן עזרא,2,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00045-X,דימונה,אבן עזרא,13,,,exact,31.072678,35.043184,OK,31.072693,35.043154,"Ibn Ezra St 13, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",3.3,58.2,55.5,אבן עזרא,13,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00046-X,דימונה,אבן עזרא,8,,,exact,31.073112,35.042725,OK,31.073109,35.042706,"Ibn Ezra St 8, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",1.9,19.3,21.2,אבן עזרא,8,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00047-X,דימונה,אבן עזרא,1,,,exact,31.073556,35.043181,OK,31.073835,35.043035,"Ibn Ezra St 1, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",34.0,51.1,76.5,אבן עזרא,3,partial,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00048-X,דימונה,אבן עזרא,10,,,exact,31.072985,35.042751,OK,31.072975,35.042698,"Ibn Ezra St 10, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",5.1,24.8,29.1,אבן עזרא,10,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00049-X,דימונה,אבן עזרא,3,,,exact,31.073431,35.043169,OK,31.073426,35.043145,"Ibn Ezra St 3, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",2.4,38.9,37.1,אבן עזרא,3,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00050-X,דימונה,אבן עזרא,7,,,exact,31.073176,35.043170,OK,31.073152,35.043132,"Ibn Ezra St 7, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.5,23.8,20.0,אבן עזרא,7,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00051-X,דימונה,אבן עזרא,9,,,exact,31.073030,35.043182,OK,31.073014,35.043137,"Ibn Ezra St 9, Dimona, Israel",OK,31.073152,35.042923,"אבן עזרא, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",4.7,28.2,25.5,אבן עזרא,9,match,אבן עזרא,,partial,,,n/a,אבן עזרא,442,partial,
001027-073567-00052-X,דימונה,אדר,4,,,exact,31.077827,35.039903,OK,31.077823,35.039908,"Adar St 4, Dimona, Israel",OK,31.078007,35.040281,"אדר, נווה חורש, חכמי ישראל, דימונה, נפת באר שבע, מחוז הדרום, 8604712, ישראל",0.6,41.2,41.0,אדר,4,match,אדר,,partial,,,n/a,צבעוני,12,mismatch,google_rev_at_osm_mismatch
