id,city,file_street,file_house_number,file_match_type,utm_x,utm_y,lat,lon,google_street,google_house_number,google_full_address,match_score
001027-074211-00366-X,דימונה,התאנה,366,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00368-X,דימונה,התאנה,368,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00374-X,דימונה,התאנה,374,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00380-X,דימונה,התאנה,380,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074211-00382-X,דימונה,התאנה,382,street,693386.87,3438512.95,31.0644753,35.0268793,התאנה,30,"התאנה 30, דימונה, ישראל",not_exact
001027-074430-00001-X,דימונה,הגפן,1,exact,693545.33,3438599.11,31.0652262,35.0285557,הגפן,3,"הגפן 3, דימונה, ישראל",not_exact
001027-074430-00002-X,דימונה,הגפן,2,street,693251.09,3438545.2,31.0647885,35.0254631,הגפן,179,"הגפן 179, דימונה, ישראל",not_exact
001027-074430-00004-X,דימונה,הגפן,4,exact,693444.67,3438620.41,31.0654348,35.0275054,הגפן,4,"הגפן 4, דימונה, ישראל",exact
001027-074430-00005-X,דימונה,הגפן,5,exact,693514.29,3438596.07,31.0652039,35.02823,הגפן,3,"הגפן 3, דימונה, ישראל",not_exact
001027-074430-00006-X,דימונה,הגפן,6,exact,693432.86,3438598.66,31.0652406,35.0273775,הגפן,6,"הגפן 6, דימונה, ישראל",exact
001027-074430-00007-X,דימונה,הגפן,7,exact,693474.79,3438589.65,31.0651525,35.027815,הגפן,7,"הגפן 7, דימונה, ישראל",exact
001027-074430-00008-X,דימונה,הגפן,8,exact,693414.2,3438600.53,31.0652606,35.0271824,הגפן,8,"הגפן 8, דימונה, ישראל",exact
001027-074430-00009-X,דימונה,הגפן,9,exact,693466.14,3438583.94,31.0651024,35.0277233,הגפן,7,"הגפן 7, דימונה, ישראל",not_exact
001027-074430-00010-X,דימונה,הגפן,10,exact,693405.36,3438593.34,31.0651972,35.0270884,הגפן,10,"הגפן 10, דימונה, ישראל",exact
001027-074430-00011-X,דימונה,הגפן,11,exact,693452.07,3438584.73,31.0651118,35.027576,הגפן,9,"הגפן 9, דימונה, ישראל",not_exact
001027-074430-00012-X,דימונה,הגפן,12,exact,693384.45,3438599.89,31.0652597,35.0268706,הגפן,12,"הגפן 12, דימונה, ישראל",exact
001027-074430-00013-X,דימונה,הגפן,13,exact,693443.12,3438586.75,31.0651315,35.0274827,הגפן,11,"הגפן 11, דימונה, ישראל",not_exact
001027-074430-00014-X,דימונה,הגפן,14,exact,693378.86,3438590.94,31.0651799,35.0268103,הגפן,14,"הגפן 14, דימונה, ישראל",exact
001027-074430-00015-X,דימונה,הגפן,15,exact,693417.92,3438576.99,31.0650477,35.0272168,הגפן,5,"הגפן 5, דימונה, ישראל",not_exact
001027-074430-00016-X,דימונה,הגפן,16,exact,693381.78,3438626.52,31.0655003,35.0268477,הגפן,16,"הגפן 16, דימונה, ישראל",exact
001027-074430-00017-X,דימונה,הגפן,17,exact,693416.31,3438570.9,31.064993,35.0271988,הגפן,15,"הגפן 15, דימונה, ישראל",not_exact
001027-074430-00018-X,דימונה,הגפן,18,exact,693372.61,3438621.21,31.0654539,35.0267506,הגפן,18,"הגפן 18, דימונה, ישראל",exact
001027-074430-00019-X,דימונה,הגפן,19,exact,693405.61,3438576.2,31.0650426,35.0270877,הגפן,15,"הגפן 15, דימונה, ישראל",not_exact
001027-074430-00021-X,דימונה,הגפן,21,exact,693390.09,3438572.12,31.0650083,35.0269244,הגפן,19,"הגפן 19, דימונה, ישראל",not_exact
001027-074430-00024-X,דימונה,הגפן,24,exact,693357.52,3438595.41,31.0652237,35.0265876,הגפן,24,"הגפן 24, דימונה, ישראל",exact
001027-074430-00025-X,דימונה,הגפן,25,exact,693342.87,3438559.77,31.0649048,35.0264273,הגפן,23,"הגפן 23, דימונה, ישראל",not_exact
001027-074430-00026-X,דימונה,הגפן,26,exact,693352.85,3438588.6,31.0651631,35.0265374,הגפן,24,"הגפן 24, דימונה, ישראל",not_exact
001027-074430-00027-X,דימונה,הגפן,27,exact,693323.73,3438555.67,31.0648709,35.0262261,הגפן,27,"הגפן 27, דימונה, ישראל",exact
001027-074430-00028-X,דימונה,הגפן,28,exact,693336.98,3438589.26,31.0651717,35.0263713,הגפן,26,"הגפן 26, דימונה, ישראל",not_exact
001027-074430-00029-X,דימונה,הגפן,29,exact,693314.84,3438547.54,31.0647991,35.0261314,הגפן,1,"הגפן 1, דימונה, ישראל",not_exact
001027-074430-00030-X,דימונה,הגפן,30,exact,693324.88,3438586.72,31.0651507,35.0262441,הגפן,28,"הגפן 28, דימונה, ישראל",not_exact
001027-074430-00031-X,דימונה,הגפן,31,exact,693298.79,3438546.57,31.064793,35.0259631,הגפן,31,"הגפן 31, דימונה, ישראל",exact
001027-074430-00032-X,דימונה,הגפן,32,exact,693316.35,3438581.44,31.0651045,35.0261537,הגפן,30,"הגפן 30, דימונה, ישראל",not_exact
001027-074430-00033-X,דימונה,הגפן,33,exact,693296.48,3438531.65,31.0646588,35.025936,הגפן,31,"הגפן 31, דימונה, ישראל",not_exact
001027-074430-00034-X,דימונה,הגפן,34,exact,693299.04,3438578.8,31.0650836,35.0259718,הגפן,32,"הגפן 32, דימונה, ישראל",not_exact
001027-074430-00035-X,דימונה,הגפן,35,exact,693267.92,3438537.43,31.0647156,35.0256379,הגפן,35,"הגפן 35, דימונה, ישראל",exact
001027-074430-00036-X,דימונה,הגפן,36,exact,693275.83,3438573.69,31.0650413,35.0257277,הגפן,36,"הגפן 36, דימונה, ישראל",exact
001027-074430-00037-X,דימונה,הגפן,37,exact,693256.18,3438528.42,31.0646363,35.0255132,הגפן,37,"הגפן 37, דימונה, ישראל",exact
001027-074430-00040-X,דימונה,הגפן,40,exact,693252.12,3438560.04,31.0649221,35.0254768,יאיר שטרן,40,"יאיר שטרן 40, דימונה, ישראל",none
001027-074430-00041-X,דימונה,הגפן,41,exact,693229.54,3438519.77,31.0645627,35.0252325,הגפן,41,"הגפן 41, דימונה, ישראל",exact
001027-074430-00042-X,דימונה,הגפן,42,exact,693229.09,3438559.22,31.0649185,35.0252353,הגפן,42,"הגפן 42, דימונה, ישראל",exact
001027-074430-00043-X,דימונה,הגפן,43,exact,693206.24,3438508.17,31.0644619,35.0249862,הגפן,43,"הגפן 43, דימונה, ישראל",exact
001027-074430-00044-X,דימונה,הגפן,44,exact,693216.7,3438544.98,31.0647922,35.0251028,הגפן,44,"הגפן 44, דימונה, ישראל",exact
001027-074430-00045-X,דימונה,הגפן,45,exact,693191.11,3438499.71,31.0643881,35.0248261,הגפן,45,"הגפן 45, דימונה, ישראל",exact
001027-074430-00046-X,דימונה,הגפן,46,exact,693202.33,3438538.82,31.064739,35.0249511,הגפן,46,"הגפן 46, דימונה, ישראל",exact
001027-074430-00048-X,דימונה,הגפן,48,street,693251.09,3438545.2,31.0647885,35.0254631,הגפן,179,"הגפן 179, דימונה, ישראל",not_exact
001027-074430-00049-X,דימונה,הגפן,49,exact,693163.45,3438480.67,31.064221,35.0245327,הגפן,291,"הגפן 291, דימונה, ישראל",not_exact
001027-074430-00050-X,דימונה,הגפן,50,street,693251.09,3438545.2,31.0647885,35.0254631,הגפן,179,"הגפן 179, דימונה, ישראל",not_exact
001027-074430-00051-X,דימונה,הגפן,51,exact,693147.74,3438474.51,31.064168,35.024367,הגפן,290,"הגפן 290, דימונה, ישראל",not_exact
001027-074730-00000-X,דימונה,האשל,,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00016-X,דימונה,האשל,16,exact,693656.12,3438765.16,31.0667052,35.0297481,האשל,206,"האשל 206, דימונה, ישראל",not_exact
001027-074730-00552-X,דימונה,האשל,552,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00554-X,דימונה,האשל,554,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00555-X,דימונה,האשל,555,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00557-X,דימונה,האשל,557,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00558-X,דימונה,האשל,558,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00560-X,דימונה,האשל,560,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00561-X,דימונה,האשל,561,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
001027-074730-00562-X,דימונה,האשל,562,street,693689.65,3438746.59,31.0665323,35.0300958,האשל,10,"האשל 10, דימונה, ישראל",not_exact
