id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y,source_file,status
001027-082952-01013-ג,"העצמאות 1013, דימונה",דימונה,העצמאות,1013,ג,8605013,street,202751.72,553170.26,693617.55,3439086.97,File B (Preferred),resolved_preference
001027-082952-01013-ד,"העצמאות 1013, דימונה",דימונה,העצמאות,1013,ד,8605014,street,202751.72,553170.26,693617.55,3439086.97,File B (Preferred),resolved_preference
001027-073567-02459-X,"טופח 17, דימונה",דימונה,טופח,17,,,exact,203894.49,554449.24,,,File A,ok
001027-073567-02460-X,"שד הנשיא 46, דימונה",דימונה,שד הנשיא,46,,,exact,202887.94,552384.96,,,File A,ok
001027-073567-02461-X,"הרכס 17, דימונה",דימונה,הרכס,17,,,exact,204016.13,553105.71,,,File A,ok
001027-073567-02462-X,"שיזף 5, דימונה",דימונה,שיזף,5,,,none,,,,,File A,ok
001027-085619-00035-X,"התפוצות 35, דימונה",דימונה,התפוצות,35,,8605879,street,202863.27,553949.16,693713.62,3439867.97,File B (Preferred),resolved_preference
001027-073567-02464-X,"חטיבת הנגב 11, דימונה",דימונה,חטיבת הנגב,11,,,none,,,,,File A,ok
001027-073567-02465-X,"שיזף 77, דימונה",דימונה,שיזף,77,,,exact,203502.54,554454.84,,,File A,ok
001027-073567-02466-X,"ערוגות 14, דימונה",דימונה,ערוגות,14,,,exact,203322.95,553636.90,,,Both (File A & B),ok
001027-080737-00022-X,"רחבת אורון 22, דימונה",דימונה,רחבת אורון,22,,8610816,street,202853.17,552528.89,693731.72,3438447.71,File B (Preferred),resolved_preference
001027-074211-00230-X,"התאנה 230, דימונה",דימונה,התאנה,230,,8602709,street,202509.70,552600.96,693386.87,3438512.95,File B (Preferred),resolved_preference
001027-073567-02469-X,"הברוש 7, דימונה",דימונה,הברוש,7,,,exact,202935.93,552721.84,,,Both (File A & B),ok
001027-073567-02470-X,"חצב 19, דימונה",דימונה,חצב,19,,,exact,203672.94,554003.12,,,File A,ok
001027-075069-00525-X,"ההדס 525, דימונה",דימונה,ההדס,525,,8602841,street,202812.20,552635.35,693688.65,3438553.34,File B (Preferred),resolved_preference
001027-073567-02472-X,"מולדה 8, דימונה",דימונה,מולדה,8,,,none,,,,,File A,ok
001027-073567-02473-X,"חצב 64, דימונה",דימונה,חצב,64,,,none,,,,,File A,ok
001027-073567-02474-X,"ברקן 1, דימונה",דימונה,ברקן,1,,,exact,203749.64,554237.87,,,File A,ok
001027-073567-02475-X,"קרני חיטין 4, דימונה",דימונה,קרני חיטין,4,,,exact,203865.30,551493.78,,,File A,ok
001027-073567-02476-X,"ציפורי 31, דימונה",דימונה,ציפורי,31,,,exact,203422.67,551568.51,,,File A,ok
001027-073567-02477-X,"פטרה 24, דימונה",דימונה,פטרה,24,,,exact,203560.24,551488.51,,,File A,ok
001027-073567-02478-X,"פרג 38, דימונה",דימונה,פרג,38,,,exact,203542.48,554342.22,,,File A,ok
001027-073567-02479-X,"פרג 5, דימונה",דימונה,פרג,5,,,exact,203699.52,554327.69,,,File A,ok
001027-073567-02480-X,"בית שערים 26, דימונה",דימונה,בית שערים,26,,,exact,203257.85,551706.70,,,File A,ok
001027-073567-02481-X,"מצדה 43, דימונה",דימונה,מצדה,43,,,exact,202947.47,552269.32,,,Both (File A & B),ok
001027-073567-02482-X,"הפועלים 18, דימונה",דימונה,הפועלים,18,,,none,,,,,File A,ok
001027-082204-00274-X,"הסנהדרין 274, דימונה",דימונה,הסנהדרין,274,,8604401,exact,203615.09,552610.95,694491.90,3438544.89,File B,ok
001027-082204-00274-ד,"הסנהדרין 274, דימונה",דימונה,הסנהדרין,274,ד,8604405,exact,203615.09,552610.95,694491.90,3438544.89,File B,ok
001027-082204-00274-ו,"הסנהדרין 274, דימונה",דימונה,הסנהדרין,274,ו,8604407,exact,203615.09,552610.95,694491.90,3438544.89,File B,ok
001027-082204-00274-ז,"הסנהדרין 274, דימונה",דימונה,הסנהדרין,274,ז,8604408,exact,203615.09,552610.95,694491.90,3438544.89,File B,ok
001027-073567-02484-X,"סחלבן החורש 15, דימונה",דימונה,סחלבן החורש,15,,,exact,203811.42,554053.71,,,File A,ok
001027-073567-02485-X,"ירמיה 10, דימונה",דימונה,ירמיה,10,,,exact,203358.95,554159.78,,,File A,ok
001027-083523-00011-X,"רחבת האיסיים 11, דימונה",דימונה,רחבת האיסיים,11,,8604739,street,203693.44,552766.84,694567.14,3438702.31,File B (Preferred),resolved_preference
001027-073567-02487-X,"המסגר 1, דימונה",דימונה,המסגר,1,,,none,,,,,File A,ok
001027-074211-00242-X,"התאנה 242, דימונה",דימונה,התאנה,242,,8602715,street,202509.70,552600.96,693386.87,3438512.95,File B (Preferred),resolved_preference
001027-073567-02489-X,"אלה 10, דימונה",דימונה,אלה,10,,,exact,203575.48,554216.67,,,File A,ok
001027-073567-02490-X,"שיזף 81, דימונה",דימונה,שיזף,81,,,exact,203480.86,554441.25,,,File A,ok
001027-078072-00047-X,"קדש 47, דימונה",דימונה,קדש,47,,8601624,street,202704.82,551950.21,693594.88,3437866.17,File B (Preferred),resolved_preference
001027-073567-02492-X,"העמל 2, דימונה",דימונה,העמל,2,,,none,,,,,File A,ok
001027-075911-00326-X,"הרימון 326, דימונה",דימונה,הרימון,326,,8610515,street,202510.01,552536.37,693388.46,3438448.38,File B (Preferred),resolved_preference
001027-073567-02494-X,"קלעת נמרוד 13, דימונה",דימונה,קלעת נמרוד,13,,,exact,203279.22,551484.20,,,File A,ok
001027-079550-00040-X,"האורן 40, דימונה",דימונה,האורן,40,,8602911,street,202691.77,552731.07,693566.33,3438646.65,File B (Preferred),resolved_preference
001027-079550-00040-א,"האורן 40, דימונה",דימונה,האורן,40,א,8602912,street,202691.77,552731.07,693566.33,3438646.65,File B (Preferred),resolved_preference
001027-079550-00040-ג,"האורן 40, דימונה",דימונה,האורן,40,ג,8602914,street,202691.77,552731.07,693566.33,3438646.65,File B (Preferred),resolved_preference
001027-073567-02496-X,"דוד אלעזר 582, דימונה",דימונה,דוד אלעזר,582,,,none,,,,,File A,ok
001027-073567-02497-X,"שיזף 85, דימונה",דימונה,שיזף,85,,,exact,203460.41,554410.97,,,File A,ok
001027-073567-02498-X,"כליל החורש 30, דימונה",דימונה,כליל החורש,30,,,exact,203944.54,554201.33,,,File A,ok
001027-073567-02499-X,"פקיעין 1, דימונה",דימונה,פקיעין,1,,,exact,203257.06,551867.84,,,File A,ok
001027-073567-02500-X,"בבא סאלי 38, דימונה",דימונה,בבא סאלי,38,,,exact,202759.72,552018.42,,,Both (File A & B),ok
