itm_x	itm_y
203383.74	553513.02
203379.49	553522.78
203385.07	553531.92
202863.6	553325.99
203206.88	553213.91
202276.96	552350.76
202372.75	552379.29
202335.93	552357.84
203946.92	552771.61
203768.18	552801.38
203781.6	552798.27
203787.04	552791.84
203809.62	552791.34
203817.28	552782.74
203840.71	552774.44
203857.13	552773.65
203884.32	552764.31
203890.07	552760.41
203905.81	552759.44
203912.98	552752.83
203928.85	552752.43
203934.26	552746.27
203961.7	552738.23
203983.71	552732.09
203999.08	552731.32
204006.14	552726.24
202863.27	553949.16
203847.33	553279.33
203768.67	553370.44
203746.65	553351.07
203801.98	553355.15
203830.28	553325.47
203854.53	553296.69
203865.38	553282.51
203361.84	553651.84
203732.79	553633.09
