id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,lat,lon,utm_x,utm_y,osm_status,osm_lat,osm_lon,osm_utm_x,osm_utm_y,utm_diff_m
001027-074211-00256-X,"התאנה 256, דימונה",דימונה,התאנה,256,,8602722,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00258-X,"התאנה 258, דימונה",דימונה,התאנה,258,,8602723,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00260-X,"התאנה 260, דימונה",דימונה,התאנה,260,,8602724,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00334-X,"התאנה 334, דימונה",דימונה,התאנה,334,,8602725,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00336-X,"התאנה 336, דימונה",דימונה,התאנה,336,,8602726,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00338-X,"התאנה 338, דימונה",דימונה,התאנה,338,,8602727,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00340-X,"התאנה 340, דימונה",דימונה,התאנה,340,,8602728,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00342-X,"התאנה 342, דימונה",דימונה,התאנה,342,,8602729,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00344-X,"התאנה 344, דימונה",דימונה,התאנה,344,,8602730,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00346-X,"התאנה 346, דימונה",דימונה,התאנה,346,,8602731,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00348-X,"התאנה 348, דימונה",דימונה,התאנה,348,,8602732,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00350-X,"התאנה 350, דימונה",דימונה,התאנה,350,,8602733,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00352-X,"התאנה 352, דימונה",דימונה,התאנה,352,,8602734,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00354-X,"התאנה 354, דימונה",דימונה,התאנה,354,,8602735,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00356-X,"התאנה 356, דימונה",דימונה,התאנה,356,,8602736,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00358-X,"התאנה 358, דימונה",דימונה,התאנה,358,,8602737,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00362-X,"התאנה 362, דימונה",דימונה,התאנה,362,,8602739,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00364-X,"התאנה 364, דימונה",דימונה,התאנה,364,,8602740,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00366-X,"התאנה 366, דימונה",דימונה,התאנה,366,,8602741,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00368-X,"התאנה 368, דימונה",דימונה,התאנה,368,,8602742,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00374-X,"התאנה 374, דימונה",דימונה,התאנה,374,,8602745,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00380-X,"התאנה 380, דימונה",דימונה,התאנה,380,,8602748,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074211-00382-X,"התאנה 382, דימונה",דימונה,התאנה,382,,8602749,street,202509.70,552600.96,31.064475,35.026879,693386.87,3438512.95,OK,31.064491,35.026752,693374.66,3438514.43,12.30
001027-074430-00001-X,"הגפן 1, דימונה",דימונה,הגפן,1,,8610565,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00002-X,"הגפן 2, דימונה",דימונה,הגפן,2,,8610566,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00004-X,"הגפן 4, דימונה",דימונה,הגפן,4,,8610568,exact,202569.61,552707.25,31.065435,35.027505,693444.67,3438620.41,OK,31.064918,35.025862,693288.91,3438560.30,166.95
001027-074430-00005-X,"הגפן 5, דימונה",דימונה,הגפן,5,,8610569,exact,202638.73,552681.53,31.065204,35.028230,693514.29,3438596.07,OK,31.064918,35.025862,693288.91,3438560.30,228.20
001027-074430-00006-X,"הגפן 6, דימונה",דימונה,הגפן,6,,8610570,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00007-X,"הגפן 7, דימונה",דימונה,הגפן,7,,8610571,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00008-X,"הגפן 8, דימונה",דימונה,הגפן,8,,8610572,exact,202538.76,552687.98,31.065261,35.027182,693414.20,3438600.53,OK,31.064918,35.025862,693288.91,3438560.30,131.59
001027-074430-00009-X,"הגפן 9, דימונה",דימונה,הגפן,9,,8610573,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00010-X,"הגפן 10, דימונה",דימונה,הגפן,10,,8610574,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00011-X,"הגפן 11, דימונה",דימונה,הגפן,11,,8610575,exact,202576.30,552671.43,31.065112,35.027576,693452.07,3438584.73,OK,31.064918,35.025862,693288.91,3438560.30,164.98
001027-074430-00012-X,"הגפן 12, דימונה",דימונה,הגפן,12,,8610576,exact,202509.01,552687.92,31.065260,35.026871,693384.45,3438599.89,OK,31.064918,35.025862,693288.91,3438560.30,103.42
001027-074430-00013-X,"הגפן 13, דימונה",דימונה,הגפן,13,,8610577,exact,202567.40,552673.63,31.065132,35.027483,693443.12,3438586.75,OK,31.064918,35.025862,693288.91,3438560.30,156.46
001027-074430-00014-X,"הגפן 14, דימונה",דימונה,הגפן,14,,8610578,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00015-X,"הגפן 15, דימונה",דימונה,הגפן,15,,8610579,exact,202542.01,552664.37,31.065048,35.027217,693417.92,3438576.99,OK,31.064918,35.025862,693288.91,3438560.30,130.09
001027-074430-00016-X,"הגפן 16, דימונה",דימונה,הגפן,16,,8610580,exact,202506.86,552714.60,31.065500,35.026848,693381.78,3438626.52,OK,31.064918,35.025862,693288.91,3438560.30,114.06
001027-074430-00017-X,"הגפן 17, דימונה",דימונה,הגפן,17,,8602801,exact,202540.28,552658.31,31.064993,35.027199,693416.31,3438570.90,OK,31.064918,35.025862,693288.91,3438560.30,127.84
001027-074430-00018-X,"הגפן 18, דימונה",דימונה,הגפן,18,,8602802,exact,202497.59,552709.48,31.065454,35.026751,693372.61,3438621.21,OK,31.064918,35.025862,693288.91,3438560.30,103.52
001027-074430-00019-X,"הגפן 19, דימונה",דימונה,הגפן,19,,8602803,exact,202529.69,552663.83,31.065043,35.027088,693405.61,3438576.20,OK,31.064918,35.025862,693288.91,3438560.30,117.78
001027-074430-00021-X,"הגפן 21, דימונה",דימונה,הגפן,21,,8602805,exact,202514.09,552660.05,31.065008,35.026924,693390.09,3438572.12,OK,31.064918,35.025862,693288.91,3438560.30,101.87
001027-074430-00024-X,"הגפן 24, דימונה",דימונה,הגפן,24,,8602808,exact,202481.99,552683.99,31.065224,35.026588,693357.52,3438595.41,OK,31.064918,35.025862,693288.91,3438560.30,77.07
001027-074430-00025-X,"הגפן 25, דימונה",דימונה,הגפן,25,,8602809,exact,202466.63,552648.64,31.064905,35.026427,693342.87,3438559.77,OK,31.064918,35.025862,693288.91,3438560.30,53.96
001027-074430-00026-X,"הגפן 26, דימונה",דימונה,הגפן,26,,8602810,exact,202477.18,552677.27,31.065163,35.026537,693352.85,3438588.60,OK,31.064918,35.025862,693288.91,3438560.30,69.92
001027-074430-00027-X,"הגפן 27, דימונה",דימונה,הגפן,27,,8602811,exact,202447.42,552644.93,31.064871,35.026226,693323.73,3438555.67,OK,31.064918,35.025862,693288.91,3438560.30,35.13
001027-074430-00028-X,"הגפן 28, דימונה",דימונה,הגפן,28,,8602812,exact,202461.33,552678.25,31.065172,35.026371,693336.98,3438589.26,OK,31.064918,35.025862,693288.91,3438560.30,56.12
001027-074430-00029-X,"הגפן 29, דימונה",דימונה,הגפן,29,,8602813,exact,202438.37,552636.98,31.064799,35.026131,693314.84,3438547.54,OK,31.064918,35.025862,693288.91,3438560.30,28.90
001027-074430-00030-X,"הגפן 30, דימונה",דימונה,הגפן,30,,8602814,exact,202449.18,552675.94,31.065151,35.026244,693324.88,3438586.72,OK,31.064918,35.025862,693288.91,3438560.30,44.63
001027-074430-00031-X,"הגפן 31, דימונה",דימונה,הגפן,31,,8602815,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00032-X,"הגפן 32, דימונה",דימונה,הגפן,32,,8602816,exact,202440.55,552670.84,31.065105,35.026154,693316.35,3438581.44,OK,31.064918,35.025862,693288.91,3438560.30,34.64
001027-074430-00033-X,"הגפן 33, דימונה",דימונה,הגפן,33,,8602817,exact,202419.70,552621.46,31.064659,35.025936,693296.48,3438531.65,OK,31.064918,35.025862,693288.91,3438560.30,29.63
001027-074430-00034-X,"הגפן 34, דימונה",דימונה,הגפן,34,,8602818,exact,202423.19,552668.54,31.065084,35.025972,693299.04,3438578.80,OK,31.064918,35.025862,693288.91,3438560.30,21.09
001027-074430-00035-X,"הגפן 35, דימונה",דימונה,הגפן,35,,8602819,exact,202391.27,552627.79,31.064716,35.025638,693267.92,3438537.43,OK,31.064918,35.025862,693288.91,3438560.30,31.04
001027-074430-00036-X,"הגפן 36, דימונה",דימונה,הגפן,36,,8602820,exact,202399.89,552663.89,31.065041,35.025728,693275.83,3438573.69,OK,31.064918,35.025862,693288.91,3438560.30,18.72
001027-074430-00037-X,"הגפן 37, דימונה",דימונה,הגפן,37,,8602821,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00040-X,"הגפן 40, דימונה",דימונה,הגפן,40,,8602824,exact,202375.91,552650.72,31.064922,35.025477,693252.12,3438560.04,OK,31.064918,35.025862,693288.91,3438560.30,36.80
001027-074430-00041-X,"הגפן 41, דימונה",דימונה,הגפן,41,,8602825,exact,202352.54,552610.90,31.064563,35.025233,693229.54,3438519.77,OK,31.064918,35.025862,693288.91,3438560.30,71.88
001027-074430-00042-X,"הגפן 42, דימונה",דימונה,הגפן,42,,8602826,exact,202352.88,552650.35,31.064918,35.025235,693229.09,3438559.22,OK,31.064918,35.025862,693288.91,3438560.30,59.83
001027-074430-00043-X,"הגפן 43, דימונה",דימונה,הגפן,43,,8602827,exact,202329.02,552599.77,31.064462,35.024986,693206.24,3438508.17,OK,31.064918,35.025862,693288.91,3438560.30,97.73
001027-074430-00044-X,"הגפן 44, דימונה",דימונה,הגפן,44,,8602828,exact,202340.20,552636.36,31.064792,35.025103,693216.70,3438544.98,OK,31.064918,35.025862,693288.91,3438560.30,73.82
001027-074430-00045-X,"הגפן 45, דימונה",דימונה,הגפן,45,,8602829,exact,202313.72,552591.61,31.064388,35.024826,693191.11,3438499.71,OK,31.064918,35.025862,693288.91,3438560.30,115.05
001027-074430-00046-X,"הגפן 46, דימונה",דימונה,הגפן,46,,8602830,exact,202325.72,552630.49,31.064739,35.024951,693202.33,3438538.82,OK,31.064918,35.025862,693288.91,3438560.30,89.20
001027-074430-00048-X,"הגפן 48, דימונה",דימונה,הגפן,48,,8602832,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00049-X,"הגפן 49, דימונה",דימונה,הגפן,49,,8602833,exact,202285.69,552573.12,31.064221,35.024533,693163.45,3438480.67,OK,31.064918,35.025862,693288.91,3438560.30,148.60
001027-074430-00050-X,"הגפן 50, דימונה",דימונה,הגפן,50,,8602834,none,,,,,,,OK,31.064918,35.025862,693288.91,3438560.30,
001027-074430-00051-X,"הגפן 51, דימונה",דימונה,הגפן,51,,8602835,exact,202269.86,552567.27,31.064168,35.024367,693147.74,3438474.51,OK,31.064918,35.025862,693288.91,3438560.30,165.20
001027-074730-00000-X,"האשל, דימונה",דימונה,האשל,,,8602500,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00016-X,"האשל 16, דימונה",דימונה,האשל,16,,8602501,exact,202783.89,552847.77,31.066705,35.029748,693656.12,3438765.16,OK,31.066610,35.029793,693660.59,3438754.65,11.43
001027-074730-00552-X,"האשל 552, דימונה",דימונה,האשל,552,,8602502,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00554-X,"האשל 554, דימונה",דימונה,האשל,554,,8602504,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00555-X,"האשל 555, דימונה",דימונה,האשל,555,,8602505,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00557-X,"האשל 557, דימונה",דימונה,האשל,557,,8602507,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00558-X,"האשל 558, דימונה",דימונה,האשל,558,,8602508,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00560-X,"האשל 560, דימונה",דימונה,האשל,560,,8602510,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00561-X,"האשל 561, דימונה",דימונה,האשל,561,,8602511,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00562-X,"האשל 562, דימונה",דימונה,האשל,562,,8602512,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00563-X,"האשל 563, דימונה",דימונה,האשל,563,,8602513,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00564-X,"האשל 564, דימונה",דימונה,האשל,564,,8602514,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00566-X,"האשל 566, דימונה",דימונה,האשל,566,,8602516,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00567-X,"האשל 567, דימונה",דימונה,האשל,567,,8602517,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00568-X,"האשל 568, דימונה",דימונה,האשל,568,,8602518,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00569-X,"האשל 569, דימונה",דימונה,האשל,569,,8602519,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-074730-00570-X,"האשל 570, דימונה",דימונה,האשל,570,,8602520,street,202817.04,552828.53,31.066532,35.030096,693689.65,3438746.59,OK,31.066610,35.029793,693660.59,3438754.65,30.16
001027-075069-00010-X,"ההדס 10, דימונה",דימונה,ההדס,10,,8602836,exact,202820.66,552615.19,31.064608,35.030137,693697.51,3438533.35,OK,31.065160,35.030080,693690.90,3438594.46,61.46
001027-075069-00521-X,"ההדס 521, דימונה",דימונה,ההדס,521,,8602837,street,202812.20,552635.35,31.064790,35.030048,693688.65,3438553.34,OK,31.065160,35.030080,693690.90,3438594.46,41.18
001027-075069-00522-X,"ההדס 522, דימונה",דימונה,ההדס,522,,8602838,street,202812.20,552635.35,31.064790,35.030048,693688.65,3438553.34,OK,31.065160,35.030080,693690.90,3438594.46,41.18
001027-075069-00524-X,"ההדס 524, דימונה",דימונה,ההדס,524,,8602840,street,202812.20,552635.35,31.064790,35.030048,693688.65,3438553.34,OK,31.065160,35.030080,693690.90,3438594.46,41.18
